,id,listing_url,last_scraped,name,summary,space,description,experiences_offered,neighborhood_overview,notes,transit,access,interaction,house_rules,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,price_good
15910,9004969,https://www.airbnb.com/rooms/9004969,2018-03-05,Jillian & Scott,Brand new apartment with kitchen and bathroom in Manhattan.,,Brand new apartment with kitchen and bathroom in Manhattan.,none,,,,,,,https://a0.muscache.com/im/pictures/1e2ade0b-8635-4d3c-9f4d-f2d222b4182b.jpg?aki_policy=large,47022650,https://www.airbnb.com/users/show/47022650,Jillian,2015-10-20,"New York, New York, United States","Hi Everyone.
I have traveled many countries throughout my lifetime and always look forward to meeting new people and sharing new experiences.  I like the intimacy of getting to know a country by interacting with the locals, eating the local food and completely immersing myself  into the culture.  And what better way to do so but by hosting and using airbnb?",within an hour,100%,t,https://a0.muscache.com/im/pictures/30a56df6-2a45-460a-8586-192dbafb17cf.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/30a56df6-2a45-460a-8586-192dbafb17cf.jpg?aki_policy=profile_x_medium,East Harlem,2.0,2.0,"['email', 'phone', 'reviews']",t,f,"New York, NY, United States",East Harlem,East Harlem,Manhattan,New York,NY,10029,New York,"New York, NY",US,United States,40.79405202372556,-73.93428947254866,t,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,Real Bed,"Internet,Wifi,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Hot water,Bed linens,Extra pillows and blankets",150.0,,,,$75.00,2.0,$75.00,1.0,1125.0,2 days ago,t,30.0,60.0,90.0,359.0,2018-03-05,29.0,2015-10-26,2018-01-02,95.0,10.0,10.0,10.0,10.0,8.0,9.0,f,f,f,moderate,f,f,2.0,1.01,Reasonable Deal
16006,9058695,https://www.airbnb.com/rooms/9058695,2018-03-04,"Bed in Astoria, Queens NY",30 minutes to Manhattan,,30 minutes to Manhattan,none,,,,,,,https://a0.muscache.com/im/pictures/c6f1a0ea-7949-4c80-8218-34d9c8af6d75.jpg?aki_policy=large,13275412,https://www.airbnb.com/users/show/13275412,Marvin,2014-03-18,"New York, New York, United States",,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,Astoria,1.0,1.0,"['email', 'phone', 'reviews']",f,f,"Astoria, NY, United States",Astoria,Astoria,Queens,Astoria,NY,11102,New York,"Astoria, NY",US,United States,40.77288560776192,-73.92069480636475,t,Apartment,Shared room,1.0,1.0,1.0,1.0,Airbed,"TV,Cable TV,Wifi,Heating,Smoke detector,Carbon monoxide detector",133.0,,,,,1.0,$0.00,1.0,1125.0,29 months ago,t,0.0,0.0,0.0,0.0,2018-03-04,0.0,,,,,,,,,,f,f,f,flexible,f,f,1.0,,Reasonable Deal
28550,16056317,https://www.airbnb.com/rooms/16056317,2018-03-04,Cozy home away from home,"My place is close to Bronx Zoo/Botanical Garden/Public Transportation. My place is good for couples, solo adventurers, and business travelers.",,"My place is close to Bronx Zoo/Botanical Garden/Public Transportation. My place is good for couples, solo adventurers, and business travelers.",none,,,,,,,https://a0.muscache.com/im/pictures/705c5708-1328-4fbd-876b-b6958c348032.jpg?aki_policy=large,104568045,https://www.airbnb.com/users/show/104568045,Luisa,2016-11-20,US,,,,f,https://a0.muscache.com/im/pictures/2e0047ce-9b91-4811-bddc-199508cd89b7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/2e0047ce-9b91-4811-bddc-199508cd89b7.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,f,"Bronx, NY, United States",Morris Heights,Morris Heights,Bronx,Bronx,NY,10453.0,New York,"Bronx, NY",US,United States,40.85018446265728,-73.91669837578084,f,Apartment,Private room,2.0,1.0,1.0,1.0,Real Bed,"TV,Wifi,Air conditioning,Kitchen,Breakfast,Heating,Smoke detector,First aid kit,Essentials,Shampoo,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",44.0,,,,$12.00,1.0,$0.00,2.0,1125.0,14 months ago,t,29.0,59.0,89.0,364.0,2018-03-04,0.0,,,,,,,,,,f,f,f,strict,f,f,1.0,,Reasonable Deal
28526,16048422,https://www.airbnb.com/rooms/16048422,2018-03-05,Cute Greenpoint room,"My place is good for couples, solo adventurers, and business travelers.",,"My place is good for couples, solo adventurers, and business travelers.",none,,,,,,You just have to be cool with dogs since you'll run into little Henry biscuit from time to time. He's my roommates dog :),https://a0.muscache.com/im/pictures/b19c572e-d0eb-4fb7-8e93-a76ae05ca6ba.jpg?aki_policy=large,25599837,https://www.airbnb.com/users/show/25599837,Louise,2015-01-04,"New York, New York, United States",,,,f,https://a0.muscache.com/im/pictures/a2a406a7-a028-4cf5-80d8-dea5b7a58769.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/a2a406a7-a028-4cf5-80d8-dea5b7a58769.jpg?aki_policy=profile_x_medium,Greenpoint,1.0,1.0,"['email', 'phone', 'reviews', 'kba', 'work_email']",t,t,"Brooklyn, NY, United States",Greenpoint,Greenpoint,Brooklyn,Brooklyn,NY,11222.0,New York,"Brooklyn, NY",US,United States,40.73419161488213,-73.9567537884676,t,Apartment,Private room,2.0,1.0,3.0,1.0,Real Bed,"Wifi,Kitchen,Smoke detector,Essentials,Lock on bedroom door,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",60.0,,,,,1.0,$0.00,3.0,1125.0,13 months ago,t,0.0,0.0,0.0,0.0,2018-03-05,1.0,2017-01-02,2017-01-02,100.0,10.0,10.0,10.0,10.0,8.0,10.0,f,f,f,flexible,f,f,1.0,0.07,Reasonable Deal
34223,18946091,https://www.airbnb.com/rooms/18946091,2018-03-05,Beautiful Bay Ridge room,Bright beautiful room. Close to all transportation and shopping.,,Bright beautiful room. Close to all transportation and shopping.,none,,,,,,,https://a0.muscache.com/im/pictures/841cb049-b170-44ab-8d1a-4439e2eebc28.jpg?aki_policy=large,62475681,https://www.airbnb.com/users/show/62475681,Nina,2016-03-10,"New York, New York, United States",,a few days or more,0%,f,https://a0.muscache.com/im/pictures/2634e6ca-6696-4a94-bc3f-f71c5766dfb8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/2634e6ca-6696-4a94-bc3f-f71c5766dfb8.jpg?aki_policy=profile_x_medium,Bay Ridge,1.0,1.0,"['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"Brooklyn, NY, United States",Bay Ridge,Fort Hamilton,Brooklyn,Brooklyn,NY,11209,New York,"Brooklyn, NY",US,United States,40.6232675729605,-74.03543353914687,t,House,Private room,1.0,1.0,3.0,1.0,Real Bed,"Wifi,Air conditioning,Kitchen,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",90.0,,,,,1.0,$0.00,6.0,10.0,9 months ago,t,30.0,60.0,90.0,365.0,2018-03-04,0.0,,,,,,,,,,f,t,f,flexible,f,f,1.0,,Reasonable Deal
25073,14100743,https://www.airbnb.com/rooms/14100743,2018-03-05,beautiful one bedroom apartment,"My place is close to subway, Brooklyn college, restaurants . You’ll love my place because of the coziness, the views, the location, the high ceilings, . My place is good for couples, solo adventurers, and business travelers.",,"My place is close to subway, Brooklyn college, restaurants . You’ll love my place because of the coziness, the views, the location, the high ceilings, . My place is good for couples, solo adventurers, and business travelers.",none,,,,,,,https://a0.muscache.com/im/pictures/e2c05f3d-33f9-4d9b-8d4e-47328157952c.jpg?aki_policy=large,27126954,https://www.airbnb.com/users/show/27126954,Este,2015-02-02,"New York, New York, United States",,,,f,https://a0.muscache.com/im/users/27126954/profile_pic/1422927459/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/27126954/profile_pic/1422927459/original.jpg?aki_policy=profile_x_medium,Midwood,1.0,1.0,"['email', 'phone', 'facebook']",t,f,"Brooklyn, NY, United States",Midwood,Midwood,Brooklyn,Brooklyn,NY,11230.0,New York,"Brooklyn, NY",US,United States,40.62754815284883,-73.96096613700661,t,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,"Wifi,Air conditioning,Elevator,Family/kid friendly,Washer,Dryer,Essentials,Hangers,translation missing: en.hosting_amenity_49",75.0,,,,$40.00,1.0,$0.00,1.0,1125.0,20 months ago,t,0.0,0.0,0.0,0.0,2018-03-04,1.0,2016-07-21,2016-07-21,,,,,,,,f,t,f,flexible,f,f,1.0,0.05,Reasonable Deal
43835,22010343,https://www.airbnb.com/rooms/22010343,2018-03-05,Nice and cozy apartment! 15 mins from manhattan,Very cozy one bedroom apartment in Woodside! Just 15 mins away from the city. Private deck. Very clean. Safe neighborhood. Half a block from the train. It's a steal!,,Very cozy one bedroom apartment in Woodside! Just 15 mins away from the city. Private deck. Very clean. Safe neighborhood. Half a block from the train. It's a steal!,none,,,,,,No smoking inside the apartment. There's a private deck exclusively yours to use.  No parties allowed. Please take care of my home as you would take care of yours!,https://a0.muscache.com/im/pictures/f3f760cb-2ffa-411b-8191-ccde212b6a98.jpg?aki_policy=large,22365640,https://www.airbnb.com/users/show/22365640,Katherine,2014-10-10,"New York, New York, United States",,,,f,https://a0.muscache.com/im/users/22365640/profile_pic/1433426450/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/22365640/profile_pic/1433426450/original.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,"Woodside, NY, United States",Sunnyside,Woodside,Queens,Woodside,NY,11377.0,New York,"Woodside, NY",US,United States,40.744337212653186,-73.9110756979655,f,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Wifi,Kitchen,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",100.0,,,,,1.0,$0.00,2.0,1125.0,3 months ago,t,0.0,0.0,0.0,0.0,2018-03-05,0.0,,,,,,,,,,f,f,f,flexible,f,f,1.0,,Reasonable Deal
33476,18615497,https://www.airbnb.com/rooms/18615497,2018-03-04,Comfortable space in Brooklyn,"Great space. Two bedroom. You will have one full bedroom private access to bathroom, kitchen and living space. Quick train ride to the city and easy access to Long Island.",,"Great space. Two bedroom. You will have one full bedroom private access to bathroom, kitchen and living space. Quick train ride to the city and easy access to Long Island.",none,,,,,,,https://a0.muscache.com/im/pictures/34d22923-db01-4aba-b256-fb5f9cd2e8cd.jpg?aki_policy=large,41467596,https://www.airbnb.com/users/show/41467596,Donald,2015-08-14,"New York, New York, United States",,,,f,https://a0.muscache.com/im/users/41467596/profile_pic/1439565004/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/41467596/profile_pic/1439565004/original.jpg?aki_policy=profile_x_medium,Crown Heights,1.0,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t,"Brooklyn, NY, United States",Crown Heights,Crown Heights,Brooklyn,Brooklyn,NY,11213,New York,"Brooklyn, NY",US,United States,40.66481700939641,-73.93619100813332,t,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,"TV,Wifi,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",140.0,,,,,1.0,$0.00,1.0,20.0,10 months ago,t,0.0,0.0,0.0,0.0,2018-03-04,1.0,2017-06-03,2017-06-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,flexible,f,f,1.0,0.11,Reasonable Deal
22976,13265512,https://www.airbnb.com/rooms/13265512,2018-03-04,comfy room with private  porch,I,,I,none,,,,,,,https://a0.muscache.com/im/pictures/cfba4cce-5aea-4460-a364-0fced73e9fd7.jpg?aki_policy=large,11010205,https://www.airbnb.com/users/show/11010205,Jacob,2014-01-04,"New York, New York, United States"," Hi my name is Yacov I am a 50 year old healer and run a healing centre I do acupuncture herbs and massage therapy 
 Coming from a large family I love having people stay in my home and will try everything  i can to make them feel at home 
 house guests from all over the world are very welcome 
And the studio is kosher ",within an hour,100%,f,https://a0.muscache.com/im/users/11010205/profile_pic/1415547139/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/11010205/profile_pic/1415547139/original.jpg?aki_policy=profile_x_medium,LB of Hackney,4.0,4.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,"Brooklyn , NY, United States",Bensonhurst,Bensonhurst,Brooklyn,Brooklyn ,NY,11204.0,New York,"Brooklyn , NY",US,United States,40.61631146585958,-73.99134727218316,f,House,Private room,1.0,1.0,1.0,1.0,Real Bed,"Wifi,Free street parking,Smoke detector,Carbon monoxide detector,Fire extinguisher,Shampoo,Lock on bedroom door,Hot water,Host greets you",59.0,,,,,1.0,$0.00,1.0,1125.0,6 months ago,t,29.0,59.0,89.0,364.0,2018-03-04,6.0,2016-06-30,2016-10-14,80.0,9.0,8.0,10.0,10.0,10.0,9.0,f,f,f,flexible,f,f,3.0,0.29,Reasonable Deal
19105,10446926,https://www.airbnb.com/rooms/10446926,2018-03-05,Renovated Harlem Private Room,"This recently renovated apartment is conveniently located on the 2 and 3 express train lines in Harlem.  Full size bed, TV (with Apple TV), kitchen and bathroom.",,"This recently renovated apartment is conveniently located on the 2 and 3 express train lines in Harlem.  Full size bed, TV (with Apple TV), kitchen and bathroom.",none,,,,,,,https://a0.muscache.com/im/pictures/15bb96ed-b0ae-4cca-81c8-c6783a07bdea.jpg?aki_policy=large,53819985,https://www.airbnb.com/users/show/53819985,Matthew,2016-01-08,"New York, New York, United States",,,,f,https://a0.muscache.com/im/pictures/62694cf7-0eed-4868-a55d-e2961ec4b687.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/62694cf7-0eed-4868-a55d-e2961ec4b687.jpg?aki_policy=profile_x_medium,Harlem,1.0,1.0,"['email', 'phone', 'reviews']",t,f,"New York, NY, United States",Harlem,Harlem,Manhattan,New York,NY,10030.0,New York,"New York, NY",US,United States,40.8169879907871,-73.94254154309326,t,Apartment,Private room,2.0,1.0,1.0,1.0,Real Bed,"TV,Internet,Wifi,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Smoke detector,Lock on bedroom door,24-hour check-in,Iron",45.0,,,,,1.0,$0.00,1.0,1125.0,16 months ago,t,0.0,0.0,0.0,0.0,2018-03-05,15.0,2016-01-17,2016-10-28,88.0,9.0,8.0,10.0,10.0,9.0,9.0,f,f,f,flexible,f,f,1.0,0.58,Reasonable Deal
